IdEmpresa,Año,IdMes,Energía Facturada (MWh),temperatura,precipitacion,PIB_mensual_interpolado,COSTO_CANASTA,INGRESO_FAMILIAR_MENSUAL
17,2017,1,8816.767810000001,15.36,133.35,26681922.74,701.93,700.0
17,2017,2,8241.01793,15.2,121.77,26842647.08,708.52,700.0
17,2017,2,8241.01793,15.2,156.92,26842647.08,708.52,700.0
17,2017,3,8967.50297,15.05,129.87,26892590.77,709.22,700.0
17,2017,3,8967.50297,15.05,171.16,26892590.77,709.22,700.0
17,2017,4,8743.96369,15.55,99.1,26830156.28,706.04,700.0
17,2017,4,8743.96369,15.55,88.53,26830156.28,706.04,700.0
17,2017,5,7972.86562,15.49,87.73,26657579.08,709.18,700.0
17,2017,5,7972.86562,15.49,87.09,26657579.08,709.18,700.0
17,2017,6,8646.54012,15.47,111.27,26445443.19,707.47,700.0
17,2017,6,8646.54012,15.47,60.03,26445443.19,707.47,700.0
17,2017,7,9132.76982,14.79,142.53,26304819.34,708.51,700.0
17,2017,7,9132.76982,14.79,71.28,26304819.34,708.51,700.0
17,2017,8,9095.84305,14.17,61.27,26300401.7,709.25,700.0
17,2017,8,9095.84305,14.17,68.76,26300401.7,709.25,700.0
17,2017,9,8801.707260000001,13.58,74.85,26404708.24,708.79,700.0
17,2017,9,8801.707260000001,13.58,59.62,26404708.24,708.79,700.0
17,2017,10,8899.402580000002,13.98,93.0,26551265.76,708.01,700.0
17,2017,10,8899.402580000002,13.98,74.95,26551265.76,708.01,700.0
17,2017,11,8836.5023,13.65,78.6,26697665.09,706.31,700.0
17,2017,11,8836.5023,13.65,71.25,26697665.09,706.31,700.0
17,2017,12,9389.68,15.73,60.7,26813037.94,708.98,700.0
17,2017,12,9389.68,15.73,55.18,26813037.94,708.98,700.0
17,2018,1,9380.252,17.1,99.0,26889942.88,712.03,720.53
17,2018,1,9380.252,17.1,100.99,26889942.88,712.03,720.53
17,2018,2,8146.18312,17.03,75.1,26915764.97,710.46,720.53
17,2018,2,8146.18312,17.03,125.76,26915764.97,710.46,720.53
17,2018,3,9301.62127,15.5,50.65,26912429.42,711.13,720.53
17,2018,3,9301.62127,15.5,55.55,26912429.42,711.13,720.53
17,2018,4,8849.97017,14.6,112.8,26905269.6,709.74,720.53
17,2018,4,8849.97017,14.6,91.49,26905269.6,709.74,720.53
17,2018,5,9149.87034,14.95,178.85,26913165.18,710.07,720.53
17,2018,5,9149.87034,14.95,134.39,26913165.18,710.07,720.53
17,2018,6,9413.30767,14.5,73.35,26924231.05,708.22,720.53
17,2018,6,9413.30767,14.5,32.43,26924231.05,708.22,720.53
17,2018,7,9336.67255,13.9,152.4,26917973.02,707.54,720.53
17,2018,7,9336.67255,13.9,12.08,26917973.02,707.54,720.53
17,2018,8,9446.47094,13.95,150.1,26880006.08,710.76,720.53
17,2018,8,9446.47094,13.95,30.82,26880006.08,710.76,720.53
17,2018,9,9202.667821,14.7,103.9,26822391.8,712.66,720.53
17,2018,9,9202.667821,14.7,24.48,26822391.8,712.66,720.53
17,2018,10,9474.601609,15.5,68.4,26765775.5,714.31,720.53
17,2018,10,9474.601609,15.5,41.42,26765775.5,714.31,720.53
17,2018,11,8304.810186,15.4,97.4,26724149.3,714.67,720.53
17,2018,11,8304.810186,15.4,122.44,26724149.3,714.67,720.53
17,2018,12,9105.650777,15.3,97.4,26714691.13,715.16,720.53
17,2018,12,9105.650777,15.3,32.45,26714691.13,715.16,720.53
17,2019,1,9574.360371,17.13,182.0,26751271.67,719.88,735.47
17,2019,2,9220.62444,17.47,91.33,26840265.48,717.79,735.47
17,2019,3,8672.03196,15.7,87.15,26939093.07,713.05,735.47
20,2009,1,4410.748,16.08,249.27,19048194.13,512.03,406.93
20,2009,2,4183.163,16.27,205.65,19017244.53,513.27,406.93
20,2009,3,4342.034,16.62,176.44,18989494.5,519.9,406.93
20,2009,4,4261.93,16.8,84.58,18961052.71,522.76,406.93
20,2009,5,4505.052,16.6,57.34,18936260.49,522.75,406.93
20,2009,6,4416.522,16.23,33.54,18907178.5,522.38,406.93
20,2009,7,4360.563,16.15,6.94,18867992.41,521.73,406.93
20,2009,8,4215.0,15.9,10.92,18815652.9,519.3,406.93
20,2009,9,4238.993,16.25,15.2,18780968.14,521.26,406.93
20,2009,10,4223.409,16.3,43.44,18799372.21,522.34,406.93
20,2009,11,4111.677,16.32,26.34,18894316.02,522.59,406.93
20,2009,12,4042.13,14.17,54.3,19028374.04,528.9,406.93
20,2010,1,4221.894,16.68,214.61,19164426.62,534.33,448.0
20,2010,2,4262.88,16.95,325.48,19263288.02,535.48,448.0
20,2010,3,3953.979,17.15,245.65,19331388.5,535.56,448.0
20,2010,4,4143.133,17.1,353.71,19406796.34,539.67,448.0
